product,product-href,price,mobo-type,chipset
ASUS Intel Expedition EX-B360M-V5 Socket LGA 1151 DDR4 Micro ATX Motherboard (EX-B360M-V5),https://www.newegg.com/p/1JW-000C-00796,327,intel,lga-1151
MSI Z170A PC MATE LGA 1151 Intel Z170 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813130871,null,intel,lga-1151
MSI Z270I GAMING PRO CARBON AC LGA 1151 Intel Z270 HDMI SATA 6Gb/s USB 3.1 Mini ITX Intel Motherboard,https://www.newegg.com/p/N82E16813130972,399,intel,lga-1151
MSI Z170A GAMING M5 LGA 1151 Intel Z170 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard -,https://www.newegg.com/p/N82E16813130873,null,intel,lga-1151
ASUS Intel PRIME B360-PLUS Socket LGA 1151 DDR4 ATX Motherboard (90MB0WB0-M0EAY0),https://www.newegg.com/p/1JW-000C-007A0,165,intel,lga-1151
ASUS P10S-X (90SB05B0-M0UAY0) LGA 1151 Intel C232 SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813132950,286,intel,lga-1151
MSI Z170A XPOWER GAMING TITANIUM EDITION LGA 1151 Intel Z170 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813130870,309,intel,lga-1151
"Jetway JNF592-Q170 Ultra Slim Intel Socket LGA 1151, 8*Intel GbLAN, 6*SATA3, Mini-ITX MB",https://www.newegg.com/p/N82E16813153307,299,intel,lga-1151
MSI H110M Gaming LGA 1151 Intel H110 HDMI SATA 6Gb/s USB 3.1 Micro ATX Intel Motherboard,https://www.newegg.com/p/N82E16813130918,null,intel,lga-1151
GIGABYTE GA-Z270P-D3 (rev. 1.0) LGA 1151 Intel Z270 HDMI SATA 6Gb/s USB 3.1 ATX Motherboards - Intel,https://www.newegg.com/p/N82E16813128975,199,intel,lga-1151
MSI H110M PRO-VH LGA 1151 Intel H110 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813130908,124,intel,lga-1151
ASUS H110M-K D3 LGA 1151 Intel H110 SATA 6Gb/s USB 3.0 Micro ATX Intel Motherboard,https://www.newegg.com/p/N82E16813132688,180,intel,lga-1151
MSI Z270-A PRO LGA 1151 Intel Z270 SATA 6Gb/s USB 3.1 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813130993,235,intel,lga-1151
GIGABYTE GA-Z170-HD3 (rev. 1.0) LGA 1151 Intel Z170 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813128843,119,intel,lga-1151
BIOSTAR TB250-BTC PRO LGA 1151 Intel B250 SATA 6Gb/s USB 3.0 ATX Intel Motherboard for Cryptocurrency Mining (BTC),https://www.newegg.com/p/N82E16813138454?&quicklink=true,82,intel,lga-1151
GIGABYTE GA-B250M-DS3H (rev. 1.0) LGA 1151 Intel B250 HDMI SATA 6Gb/s USB 3.1 Micro ATX Intel Motherboard,https://www.newegg.com/p/N82E16813128980,129,intel,lga-1151
MSI B250 KRAIT GAMING LGA 1151 Intel B250 HDMI SATA 6Gb/s USB 3.1 ATX Motherboards - Intel,https://www.newegg.com/p/N82E16813130984,336,intel,lga-1151
MSI B150M Mortar LGA 1151 Intel B150 HDMI SATA 6Gb/s USB 3.1 Micro ATX Intel Motherboard,https://www.newegg.com/p/N82E16813130890,null,intel,lga-1151
ASUS Prime Z370M-Plus II LGA 1151 Intel Z370 DDR4 Micro ATX Motherboard (90MB0ZR0-M0EAY0),https://www.newegg.com/p/1JW-000C-00M04,178,intel,lga-1151
