product,product-href,price,mobo-type,chipset
GIGABYTE GA-B85M-HD3 LGA 1150 Intel B85 HDMI SATA 6Gb/s USB 3.0 Micro ATX Intel Motherboard,https://www.newegg.com/p/N82E16813128608,299,intel,lga-1150
BIOSTAR TB85 LGA 1150 Intel B85 SATA 6Gb/s USB 3.0 ATX Intel Motherboards for Cryptocurrency Mining (BTC),https://www.newegg.com/p/N82E16813138436,119,intel,lga-1150
ASUS Z97-DELUXE LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813132127,null,intel,lga-1150
MSI Z87-G43 GAMING LGA 1150 Intel Z87 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813130726,159,intel,lga-1150
GIGABYTE G1 Gaming GA-Z97X-Gaming 3 --- LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/gigabyte-g1-gaming-ga-z97x-gaming-3/p/1JW-000J-00048,185,intel,lga-1150
GIGABYTE GA-Z97N-WIFI LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 Mini ITX Intel Motherboard,https://www.newegg.com/p/N82E16813128720,null,intel,lga-1150
GIGABYTE GA-B85M-D3H LGA 1150 Intel B85 HDMI SATA 6Gb/s USB 3.0 Micro ATX Intel Motherboard,https://www.newegg.com/gigabyte-comes-with-motherboard-and-io-shield-100-tested-well-before-shipping-please-take-the-vid/p/N82E16813128621,99,intel,lga-1150
MSI B85M-P33 LGA 1150 Intel B85 SATA 6Gb/s USB 3.0 Micro ATX Entry DVI Business Intel Motherboard,https://www.newegg.com/p/N82E16813130703,126,intel,lga-1150
ASRock Z97 EXTREME3 LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,https://www.newegg.com/p/1JW-001Z-00197,143,intel,lga-1150
MSI B85-G41 PC Mate LGA 1150 Intel B85 HDMI SATA 6Gb/s USB 3.0 ATX High Performance CF Intel Motherboard,https://www.newegg.com/p/N82E16813130699,null,intel,lga-1150
