product,product-href,price,mobo-type,chipset
"GIGABYTE Z490I AORUS ULTRA LGA 1200 Intel Z490 Mini-ITX Motherboard with Dual M.2, SATA 6Gb/s, USB 3.2 Gen 2, WIFI 6, 2.5 GbE LAN",https://www.newegg.com/p/N82E16813145188,269,intel,lga-1200
ASUS TUF GAMING Z490-PLUS (WI-FI) LGA 1200 Intel Z490 SATA 6Gb/s ATX Intel Motherboard,https://www.newegg.com/p/N82E16813119271,199,intel,lga-1200
"GIGABYTE Z490 AORUS ELITE AC LGA 1200 Intel Z490 ATX Motherboard with Dual M.2, SATA 6Gb/s, USB 3.2 Gen 2, Intel 802.11ac, 2.5 GbE LAN",https://www.newegg.com/p/N82E16813145193?&quicklink=true,199,intel,lga-1200
ASRock H470M-ITX/AC LGA 1200 Intel H470 SATA 6Gb/s Mini ITX Intel Motherboard,https://www.newegg.com/p/N82E16813157930,119,intel,lga-1200
MSI MAG B460M BAZOOKA LGA 1200 Intel B460 SATA 6Gb/s Micro ATX Intel Motherboard,https://www.newegg.com/p/N82E16813144314,104,intel,lga-1200
GIGABYTE H470 AORUS PRO AX LGA 1200 Intel H470 SATA 6Gb/s ATX Intel Motherboard,https://www.newegg.com/p/N82E16813145221,149,intel,lga-1200
MSI MPG Z490M GAMING EDGE WIFI LGA 1200 Intel Z490 SATA 6Gb/s Micro ATX Intel Motherboard,https://www.newegg.com/p/N82E16813144304,189,intel,lga-1200
MSI B460M BOMBER LGA 1200 Intel B460 Intel Motherboard,https://www.newegg.com/msi-b460m-bomber/p/1JW-001M-007W4,199,intel,lga-1200
MSI PRO H410M PRO LGA 1200 Intel H410 SATA 6Gb/s Micro ATX Intel Motherboard,https://www.newegg.com/msi-h410m-pro/p/N82E16813144317,69,intel,lga-1200
ASRock B460 STEEL LEGEND LGA 1200 Intel B460 SATA 6Gb/s ATX Intel Motherboard,https://www.newegg.com/p/N82E16813157944,119,intel,lga-1200
