product,product-href,price,mobo-type,chipset
X79 PROS LGA2011 Desktop computer motherboard 64GB DDR3 4-channel mainboard support ECC RAM SATA3.0,https://www.newegg.com/p/1JW-003D-00039,105,intel,lga-2011
ASUS P9X79-E WS LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 SSI CEB Intel Motherboard,https://www.newegg.com/p/N82E16813131971,536,intel,lga-2011
ASUS P9X79 DELUXE LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard with UEFI BIOS,https://www.newegg.com/p/N82E16813131799,null,intel,lga-2011
ASUS P9X79 PRO LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard with USB BIOS,https://www.newegg.com/p/N82E16813131960,null,intel,lga-2011
ASUS Sabertooth X79 LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813131801,489,intel,lga-2011
ASUS P9X79 DELUXE LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard with UEFI BIOS,https://www.newegg.com/p/1JW-000C-009N5,329,intel,lga-2011
Big Sale X79 motherboard LGA2011 DDR3 32G ATX USB3.0 SATA3 PCI-E SSD support REG ECC memory and Xeon E5 processor With CD Drive + Manual size: 26*19.5CM,https://www.newegg.com/p/1JW-003E-000E9,104,intel,lga-2011
Asus P9X79 LE Desktop Motherboard - Intel X79 Express Chipset - Socket R LGA-2011,https://www.newegg.com/p/1JW-000C-000T6,455,intel,lga-2011
MSI X79A-GD45 PLUS-R LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard Certified Refurbished,https://www.newegg.com/p/N82E16813130845,469,intel,lga-2011
X79 LGA2011 ATX 64GB DDR3 Gaming Motherboard Support E5 2680V2 ECC M.2,https://www.newegg.com/p/1JW-003D-00037,129,intel,lga-2011
ASUS Sabertooth X79 LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813131957,298,intel,lga-2011
ASUS P9X79 PRO-R LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard with USB BIOS - Certified - Grade A,https://www.newegg.com/p/N82E16813132361,299,intel,lga-2011
Intel BOXDX79SR LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813121621,299,intel,lga-2011
ASUS P9X79 PRO LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard with USB BIOS,https://www.newegg.com/p/N82E16813131800,null,intel,lga-2011
ASUS X99-PRO/USB 3.1 Desktop Motherboard,https://www.newegg.com/p/1JW-000C-002Y1,365,intel,lga-2011
ASUS RAMPAGE IV EXTREME LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 Extended ATX Intel Motherboard,https://www.newegg.com/p/N82E16813131958,329,intel,lga-2011
Jinsha X79P ATX Motherboard Supports AMD Crossfire PCIE x16 Supports CPU E5 E5V2 2697V2 2680V2 LGA2011 Core I7 M.2 SSD Socket (Chinese Manual Only),https://www.newegg.com/jingsha-atx-standard-x79-p/p/1JW-00D3-00003?&quicklink=true,99,intel,lga-2011
ASUS Sabertooth X79 LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/1JW-000C-007Z9,298,intel,lga-2011
Supermicro X9DRW-3LN4F+ Server Motherboard - Intel C606 Chipset - Socket R LGA-2011 - Bulk Pack,https://www.newegg.com/p/N82E16813182676,954,intel,lga-2011
MSI X79A-GD45 (8D) LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard with UEFI BIOS,https://www.newegg.com/p/N82E16813130635,549,intel,lga-2011
ASUS P9X79-R LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard with UEFI BIOS - Certified - Grade A,https://www.newegg.com/p/N82E16813132359,299,intel,lga-2011
Jinsha X79P Motherboard Supports AMD Crossfire PCIE x16 Supports CPU E5 E5V2 2697V2 2680V2 LGA2011 Core I7 M.2 SSD Socket(No manual),https://www.newegg.com/p/1JW-003D-00030,119,intel,lga-2011
ASUS P9X79 LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard with UEFI BIOS,https://www.newegg.com/p/N82E16813131804,373,intel,lga-2011
HUANANZHI X79D-ZD3 M-ATX Motherboard Dual Full Speed NVME M.2 Socket PCIE x16 Supports CPU E5 E5V2 2697V2 2680V2 Intel Xeon LGA 2011 Core I7 M.2 SSD Socket Four Channel DDR3 USB 3.0,https://www.newegg.com/huananzhi-x79-zd3/p/1JW-00D3-00016,139,intel,lga-2011
ASUS Sabertooth X79 LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/1JW-00EE-00032,295,intel,lga-2011
ASUS X79 DELUXE LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813132047,479,intel,lga-2011
GIGABYTE GA-X79-UD3 LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/1HD-0002-00002,259,intel,lga-2011
ASUS SABERTOOTH X79-R LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard - Certified - Grade A,https://www.newegg.com/p/N82E16813132365,298,intel,lga-2011
ASUS P9X79-E WS LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 SSI CEB Intel Motherboard,https://www.newegg.com/asus-p9x79-e-ws/p/1JW-000C-00J16,249,intel,lga-2011
Intel BOXDX79SI LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813121534,628,intel,lga-2011
ASUS P9X79 WS LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 SSI CEB Intel Motherboard with USB BIOS,https://www.newegg.com/p/N82E16813131798,594,intel,lga-2011
ASUS Rampage IV Extreme LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 Extended ATX Intel Motherboard,https://www.newegg.com/p/N82E16813131802,null,intel,lga-2011
Lenovo Thinkstation P710 Workstation Motherboard 00FC924,https://www.newegg.com/p/1JW-000K-00F20,229,intel,lga-2011
Supermicro X9SRG-F Intel C602 2011 LGA Proprietary Desktop Motherboard,https://www.newegg.com/supermicro-x9srg-f/p/1JW-0006-00DM6,199,intel,lga-2011
ASUS P9X79-E WS LGA 2011 Intel X79 SATA 6Gb/s USB 3.0 SSI CEB Intel Motherboard,https://www.newegg.com/p/1JW-000C-00HZ7,249,intel,lga-2011
