product,product-href,price,cpu-type,socket
Intel Core 2 Quad Q6600 Kentsfield Quad-Core 2.4 GHz LGA 775 95W HH80562PH0568M Processor,https://www.newegg.com/intel-core-2-quad-q6600/p/N82E16819115018,86,intel,lga-775
INTEL Sl8Hx  Pentium 4 2.8Ghz 1Mb L2 Cache 800Mhz Fsb 775Pin Lga Socket Processor Only,https://www.newegg.com/intel-pentium-4-521/p/N82E16819116679,79,intel,lga-775
Intel Pentium D 805 Smithfield Dual-Core 2.66 GHz LGA 775 95W BX80551PE2666FN Processor,https://www.newegg.com/intel-pentium-d-805/p/N82E16819116001,26,intel,lga-775
Intel Pentium D 940 Presler Dual-Core 3.2 GHz LGA 775 SL94Q Desktop Processor,https://www.newegg.com/intel-pentium-d-940/p/N82E16819116787,335,intel,lga-775
Intel Pentium 4 516 Prescott Single-Core 2.93 GHz LGA 775 84W SL8J9 Desktop Processor,https://www.newegg.com/intel-pentium-4-516/p/N82E16819116701,225,intel,lga-775
Intel Core 2 Extreme QX6700 Kentsfield Quad-Core 2.66 GHz LGA 775 130W BX80562QX6700 Processor,https://www.newegg.com/intel-core-2-extreme-qx6700/p/N82E16819115011,857,intel,lga-775
INTEL Sl7Z9 Pentium 4 3.0Ghz 2Mb L2 Cache 800Mhz Fsb Socketlga775 Processor Only,https://www.newegg.com/intel-pentium-4-630/p/N82E16819116680,79,intel,lga-775
Intel Core 2 Duo E8400 Dual-Core 3.0 GHz LGA 775 65W AT80570PJ0806M Processor,https://www.newegg.com/intel-core-2-duo-e8400/p/N82E16819117323,79,intel,lga-775
Intel Core 2 Duo E4400 Allendale Dual-Core 2.0 GHz LGA 775 65W E4400 (SLA3F) Desktop Processor,https://www.newegg.com/intel-core-2-duo-e4400/p/N82E16819116420,70,intel,lga-775
Intel Pentium 4 640 Prescott Single-Core 3.2 GHz LGA 775 84W P4 640 (SL7Z8) Desktop Processor,https://www.newegg.com/intel-pentium-4-640/p/N82E16819116435?&quicklink=true,79,intel,lga-775
Intel Pentium 4 631 Cedar Mill Single-Core 3.0 GHz LGA 775 HH80552PG0802M Processor,https://www.newegg.com/intel-pentium-4-631/p/N82E16819116002,99,intel,lga-775
Intel Core 2 Duo E4300 Allendale Dual-Core 1.8 GHz LGA 775 65W BX80557E4300 Processor,https://www.newegg.com/intel-core-2-duo-e4300/p/N82E16819115013,146,intel,lga-775
Intel Core 2 Duo E4600 Allendale Dual-Core 2.4 GHz LGA 775 65W E4600 (SLA94) Desktop Processor,https://www.newegg.com/intel-core-2-duo-e4600/p/N82E16819116424,79,intel,lga-775
Intel Core 2 Duo E6420 Conroe Dual-Core 2.13 GHz LGA 775 65W SLA4T Desktop Processor,https://www.newegg.com/intel-core-2-duo-e6420/p/N82E16819116709,35,intel,lga-775
Intel Core 2 Quad Q6600 Kentsfield Quad-Core 2.4 GHz LGA 775 95W Q6600 (SL9UM) Desktop Processor,https://www.newegg.com/intel-core-2-quad-q6600/p/N82E16819116428,86,intel,lga-775
