product,product-href,price,cpu-type,socket
"AMD 2nd Gen Ryzen Threadripper 2920X 12-Core, 24-Thread, 4.3 GHz Max Boost (3.5 GHz Base), Socket sTR4 180W YD292XA8AFWOF Desktop Processor",https://www.newegg.com/amd-ryzen-threadripper-2920x/p/N82E16819113545?&quicklink=true,"1,029",amd,str4
"AMD 2nd Gen RYZEN Threadripper 2990WX 32-Core, 64-Thread, 4.2 GHz Max Boost (3.0 GHz Base), Socket sTR4 250W YD299XAZAFWOF Desktop Processor",https://www.newegg.com/amd-ryzen-threadripper-2990wx/p/N82E16819113541,"1,813",amd,str4
AMD Ryzen Threadripper 1900X 8-Core / 16 Threads 3.8 GHz Socket sTR4 180W YD190XA8AEWOF Desktop Processor,https://www.newegg.com/amd-ryzen-threadripper-1900x/p/N82E16819113457,198,amd,str4
"AMD 2nd Gen Ryzen Threadripper 24-Core, 48-Thread, 2970WX 4.2 GHz Max Boost (3.0 GHz Base), Socket sTR4 250W YD297XAZAFWOF Desktop Processor",https://www.newegg.com/amd-ryzen-threadripper-2970wx/p/N82E16819113546,"1,207",amd,str4
"AMD 2nd Gen Ryzen Threadripper 2950X, 16-Core, 32-Thread, 4.4 GHz Max Boost (3.5 GHz Base), Socket sTR4 180W YD295XA8AFWOF Desktop Processor",https://www.newegg.com/amd-ryzen-threadripper-2950x/p/N82E16819113542,"1,252",amd,str4
