product,product-href,price,cpu-type,socket
AMD RYZEN 7 2700 8-Core 3.2 GHz (4.1 GHz Max Boost) Socket AM4 65W YD2700BBAFBOX Desktop Processor,https://www.newegg.com/amd-ryzen-7-2700/p/N82E16819113498,268,amd,am4
AMD RYZEN 5 3400G 4-Core 3.7 GHz (4.2 GHz Max Boost) Socket AM4 65W YD3400C5FHBOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-3400g/p/N82E16819113570,149,amd,am4
AMD RYZEN 7 2700 8-Core 3.2 GHz (4.1 GHz Max Boost) Socket AM4 65W YD2700BBAFBOX Desktop Processor - OEM,https://www.newegg.com/amd-ryzen-7-2700/p/N82E16819113101,329,amd,am4
AMD A12-9800E Bristol Ridge Quad-Core 3.1 GHz Socket AM4 35W AD9800AHABBOX Desktop Processor Radeon R7,https://www.newegg.com/amd-a12-7th-gen-a12-9800e/p/N82E16819113450,293,amd,am4
AMD Ryzen 9 3900XT 12-Core Socket AM4 105W 100-100000277WOF Desktop Processor,https://www.newegg.com/amd-ryzen-9-3900xt-ryzen-9-3rd-gen/p/N82E16819113651,498,amd,am4
"AMD YD1200BBAFBOX Ryzen 3 1200 AF, 3.1GHz, 8 MB with Wraith Stealth cooler",https://www.newegg.com/p/274-000M-001D2,87,amd,am4
AMD A10-9700E Bristol Ridge Quad-Core 3.0 GHz Socket AM4 35W AD9700AHABBOX Desktop Processor Radeon R7,https://www.newegg.com/amd-a10-7th-gen-a10-9700e/p/N82E16819113452,69,amd,am4
AMD Ryzen 5 2600X Pinnacle Ridge 6-Core 3.6 GHz Socket AM4 95W YD260XBCAFBOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-2600x-ryzen-5-2nd-gen/p/N82E16819113659,340,amd,am4
AMD RYZEN 7 1700 8-Core 3.0 GHz (3.7 GHz Turbo) Socket AM4 65W YD1700BBAEBOX Desktop Processor,https://www.newegg.com/amd-ryzen-7-1700/p/N82E16819113428,239,amd,am4
AMD RYZEN 5 1400 4-Core 3.2 GHz (3.4 GHz Turbo) Socket AM4 65W YD1400BBAEBOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-1400/p/N82E16819113437,223,amd,am4
AMD RYZEN 3 1200 4-Core 3.1 GHz (3.4 GHz Turbo) Socket AM4 65W YD1200BBAEBOX Desktop Processor,https://www.newegg.com/amd-ryzen-3-1200/p/N82E16819113446,104,amd,am4
AMD RYZEN 5 3600 6-Core 3.6 GHz (4.2 GHz Max Boost) Socket AM4 65W 100-100000031BOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-3600/p/N82E16819113569?&quicklink=true,171,amd,am4
AMD Ryzen 5 3600 Matisse 6-Core 3.6 GHz Socket AM4 65W 100-100000031BOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-3600-ryzen-5-3rd-gen/p/N82E16819113623,295,amd,am4
AMD Ryzen 3 3100 Quad-Core 3.9 GHz Socket AM4 65W 100-100000284BOX Desktop Processor,https://www.newegg.com/amd-ryzen-3-3100-ryzen-3-3rd-gen/p/N82E16819113649,129,amd,am4
AMD Ryzen 5 3600XT 6-Core Socket AM4 95W 100-100000281BOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-3600xt-ryzen-5-3rd-gen/p/N82E16819113653,248,amd,am4
AMD RYZEN 5 2400G Quad-Core 3.6 GHz (3.9 GHz Max Boost) Socket AM4 65W YD2400C5FBBOX Desktop Processor -,https://www.newegg.com/amd-ryzen-5-2400g/p/N82E16819113480,174,amd,am4
AMD RYZEN 3 1300X 4-Core 3.5 GHz (3.7 GHz Turbo) Socket AM4 65W YD130XBBAEBOX Desktop Processor,https://www.newegg.com/amd-ryzen-3-1300x/p/N82E16819113445,139,amd,am4
AMD Ryzen 9 3900X Matisse 12-Core 3.8 GHz Socket AM4 105W 100-100000023MPK Desktop Processor,https://www.newegg.com/amd-ryzen-9-3900x-ryzen-9-3rd-gen/p/N82E16819113647,912,amd,am4
AMD Desktop Ryzen 5 1600 65W AM4 Processor with Wraith Stealth Cooler,https://www.newegg.com/amd-ryzen-5-1600/p/274-003V-00043,155,amd,am4
AMD RYZEN 5 2600 6-Core 3.4 GHz (3.9 GHz Max Boost) Socket AM4 65W YD2600BBAFBOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-2600/p/N82E16819113496,146,amd,am4
