product,product-href,price
DELL PowerEdge 2950 Server Power Supply 750W GM266 NPS-750BB (Renewed),https://www.amazon.com/PowerEdge-Server-Supply-NPS-750BB-Renewed/dp/B07VLTN9L3/ref=sr_1_508?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-508&ts_id=1161760,50
Dell 750W 80 Plus Platinum Power Supply for Select PowerEdge & PowerVault Systems. P/N: 05NF18,https://www.amazon.com/Dell-Platinum-PowerEdge-PowerVault-Systems/dp/B00JV7FX6Y/ref=sr_1_329?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-329&ts_id=1161760,58
300W POWER SUPPLY 5DDV0 05DDV0 FOR Dell INSPIRON 620/660 VOSTRO 260 H300NM-00,https://www.amazon.com/SUPPLY-05DDV0-INSPIRON-VOSTRO-H300NM-00/dp/B00B9U44ZM/ref=sr_1_747?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-747&ts_id=1161760,45
Cougar BXM Series 80 Plus Bronze Certified Semi-Modular Power Supply (BXM700 (700 Watts)),https://www.amazon.com/Cougar-Bronze-Certified-Semi-Modular-BXM700/dp/B083RWYP3Q/ref=sr_1_118?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-118&ts_id=1161760,97
DELL 0Y6WWJ Precision T3600 425W 80 PLUS GOLD Power Supply AC425EF-00,https://www.amazon.com/0Y6WWJ-Precision-T3600-Supply-AC425EF-00/dp/B017M36IBC/ref=sr_1_744?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-744&ts_id=1161760,112
"MEAN WELL Switching LED Driver Power Supply - Cable for Input and Output, 12V 22A 264W - HLG-320H-12",https://www.amazon.com/dp/B00II06HLA/ref=sr_1_959?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-959&ts_id=1161760,82
New Genuine PS for HP Z420 Workstation 600W Power Supply 632911-001 623193-001,https://www.amazon.com/Genuine-Workstation-Supply-632911-001-623193-001/dp/B07PDNGGCN/ref=sr_1_508?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-508&ts_id=1161760,114
Astec Xyratex 82495-05 95882-01 95882-03 850W Hotswap Power Supply HS-PSU-850-AC-INT DS850-3-002 (-005),https://www.amazon.com/82495-05-95882-01-95882-03-HS-PSU-850-AC-INT-DS850-3-002/dp/B00NWJAP3S/ref=sr_1_557?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-557&ts_id=1161760,33
Acer Aspire GX-281 GX-785 Predator G3-710 G6-710 Computer Power Supply 500W PS-7501-5,https://www.amazon.com/Acer-Aspire-Predator-Computer-PS-7501-5/dp/B07Q8B7KW7/ref=sr_1_97?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-97&ts_id=1161760,99
"PC Power & Cooling Power Master Series 700 Watt, 80 Plus Bronze, Semi-Modular, Active PFC, Industrial Grade ATX PC Power Suppl",https://www.amazon.com/PC-Power-Cooling-Semi-Modular-Industrial/dp/B077YS5KRX/ref=sr_1_355?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-355&ts_id=1161760,null
"C64 PSU Classic Gray US - Replacement Commodore 64 Power Supply, US Plug",https://www.amazon.com/C64-PSU-Classic-Gray-Replacement/dp/B086Z2LRKC/ref=sr_1_930?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-930&ts_id=1161760,51
250W L250NS-00 H250AD-00 F250AD-00 Power Supply Unit PSU for DELL Optiplex 390 790 990 3010 DT Inspiron 530s 537s 540s 545s 546s 560s 570s 580s Vostro 200s 220s 230s 400s Studio 540s Slim DT Systems,https://www.amazon.com/L250NS-00-H250AD-00-F250AD-00-Optiplex-Inspiron/dp/B07JYQPZGM/ref=sr_1_246?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-246&ts_id=1161760,45
"Dell Genuine Power Supply 305W for Dimension 4700 and 8400 OptiPlex GX280 Compatible Part Numbers: Y2103, G3148, Y2682, C3760 Compatible Models: PS-6311-1DFS, NPS-305AB C, PS-6311-1DS, NPS-305BB C",https://www.amazon.com/Genuine-Dell-Dimension-OptiPlex-Compatible/dp/B00457ABOO/ref=sr_1_863?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-863&ts_id=1161760,null
