product,product-href,price
"8GB (1X8GB) Memory Ram Compatible with HP/Compaq ProDesk 400 G5 MT, ProDesk 400 G5 SFF, ProDesk 400 G6 MT, ProDesk 400 G6 SFF by CMS d24",https://www.amazon.com/1X8GB-Memory-Compatible-Compaq-ProDesk/dp/B0892RCK2H/ref=sr_1_579?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-579&ts_id=172500,36
Supermicro Certified MEM-DR432L-SL01-ER24 Samsung 32GB DDR4-2400 LP ECC REG,https://www.amazon.com/Supermicro-Certified-MEM-DR432L-SL01-ER24-Samsung-DDR4-2400/dp/B01DTIXW0E/ref=sr_1_50?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-50&ts_id=172500,110
HyperX Predator Black 32GB kit 3200MHz DDR4 CL16 DIMM XMP Desktop PC Memory (HX432C16PB3K2/32),https://www.amazon.com/HyperX-Predator-3200MHz-HX432C16PB3K2-32/dp/B07GN6MM9L/ref=sr_1_14?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-14&ts_id=172500,183
A-Tech 16GB (2x8GB) DDR3 1600MHz DIMM PC3-12800 UDIMM Non-ECC 2Rx8 Dual Rank 1.5V CL11 240-Pin Desktop Computer RAM Memory Upgrade Kit,https://www.amazon.com/Tech-Desktop-240-Pin-Non-ECC-Unbuffered/dp/B07XFGKY2V/ref=sr_1_28?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-28&ts_id=172500,62
A-Tech 8GB (2 x 4GB) DDR3 1066MHz PC3-8500 Desktop RAM Kit | Non-ECC Unbuffered DIMM 1.5V 240-Pin Memory Upgrade Modules,https://www.amazon.com/PC3-8500-DESKTOP-Modules-240-pin-Tech/dp/B00C53CX3M/ref=sr_1_129?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-129&ts_id=172500,38
16GB 2x8GB RAM Memory Compatible with Dell Inspiron 15 (5555) by CMS (A7),https://www.amazon.com/16GB-2x8GB-Memory-Compatible-Inspiron/dp/B06XQ55983/ref=sr_1_918?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-918&ts_id=172500,66
A-Tech 8GB Kit (2 x 4GB) for Dell Precision Workstation 3420 T3420 3430 T3430 3620 T3620 3630 T3630 Tower Desktop Computer Memory Ram Modules,https://www.amazon.com/Tech-Precision-Workstation-Desktop-Computer/dp/B07L5XW9LM/ref=sr_1_109?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-109&ts_id=172500,59
"A-Tech 64GB (2x32GB) RAM for Apple 2019 iMac 27 inch Retina 5K, 2018 Mac Mini | DDR4 2666MHz PC4-21300 SO-DIMM 260-Pin CL19 1.2V Non-ECC Unbuffered Memory Upgrade Kit",https://www.amazon.com/Tech-2666MHz-PC4-21333-PC4-21300-260-pin/dp/B07NGSJLCJ/ref=sr_1_195?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-195&ts_id=172500,289
Crucial 8GB Kit (4GBx2) DDR3 1600 MT/s (PC3-12800) 204-Pin 1.35V/1.5V SODIMM Memory For Mac - CT2K4G3S160BJM,https://www.amazon.com/Crucial-Memoria-DDR3-SODIMM-para/dp/B00RKJ73T0/ref=sr_1_23?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-23&ts_id=172500,54
Corsair Vengeance RGB PRO 32GB (2 x 16GB) DDR4 3333MHz C16 XMP 2.0 Enthusiast RGB LED Lighting Memory Kit Black,https://www.amazon.com/CORSAIR-Vengeance-PC4-26600-3333MHz-CMW32GX4M2C3333C16/dp/B07L8VY4B8/ref=sr_1_920?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-920&ts_id=172500,179
Corsair Vengeance RGB Pro 32GB (4x8GB) DDR4 3600 (PC4-28800) C18 Desktop Memory – Black,https://www.amazon.com/Corsair-Vengeance-PC4-28800-Desktop-Memory/dp/B07TB4J2DD/ref=sr_1_507?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-507&ts_id=172500,199
"A-Tech 8GB RAM for Dell Inspiron 3470, 3471, 3670, 3671, 5680 | DDR4 2666MHz DIMM PC4-21300 288-Pin Non-ECC UDIMM Desktop Memory Upgrade Module",https://www.amazon.com/Tech-Module-Inspiron-Desktop-Computer/dp/B07L5Z4K3R/ref=sr_1_842?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-842&ts_id=172500,49
16Gb (2X8Gb) Memory Ram Compatible with Dell Optiplex 790 Ddr3 Dimm by CMS Brand (A66),https://www.amazon.com/2X8Gb-Memory-Compatible-Optiplex-Brand/dp/B00D6WJPVO/ref=sr_1_412?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-412&ts_id=172500,66
Timetec Hynix IC 8GB DDR3L 1600MHz PC3L-12800 Non ECC Unbuffered 1.35V/1.5V CL11 2Rx8 Dual Rank 240 Pin UDIMM Desktop PC Computer Memory Ram Module Upgrade (8GB),https://www.amazon.com/Timetec-1600MHz-PC3L-12800-Unbuffered-Computer/dp/B00IV19I0S/ref=sr_1_35?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-35&ts_id=172500,28
"16GB 1X16GB Memory RAM Compatible with Lenovo IdeaPad S130-14IGM, IdeaPad L340 (17) AMD Series, L340-17API, L340-17IWL, L340-17IRH by CMS C107",https://www.amazon.com/Memory-Compatible-S130-14IGM-L340-17API-L340-17IWL/dp/B08266NT4T/ref=sr_1_436?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-436&ts_id=172500,67
Genuine Hynix HMT325U6CFR8C-H9 Computer Memory 2GB 1Rx8 PC3-10600 497157-D88,https://www.amazon.com/Hynix-HMT325U6CFR8C-H9-Computer-PC3-10600-497157-D88/dp/B016KVUD3G/ref=sr_1_581?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-581&ts_id=172500,7
OLOy DDR4 RAM 16GB (2x8GB) 3000 MHz CL16 1.35V 288-Pin Desktop Gaming UDIMM (MD4U083016BJDA),https://www.amazon.com/OLOy-288-Pin-Desktop-Gaming-MD4U083016BJDA/dp/B083NPX9TJ/ref=sr_1_125?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-125&ts_id=172500,57
